Data_Ora,Valore_Inquinante,Incremento_%,Classe_Incremento,Target_ML,Voli_t,Ora,Giorno_Settimana,Mese,Voli_Lag_1,Voli_Lag_2,Voli_Lag_3,Voli_Lag_4,Voli_Lag_5,Voli_Lag_6,Voli_Lag_7,Voli_Lag_8,Voli_Lag_9,Voli_Lag_10,Voli_Lag_11,Voli_Lag_12,Voli_Lag_13,Voli_Lag_14,Voli_Lag_15,Voli_Lag_16,Voli_Lag_17,Voli_Lag_18,Voli_Lag_19,Voli_Lag_20,Voli_Lag_21,Voli_Lag_22,Voli_Lag_23,Voli_Lag_24
2024-02-12 01:00:00,31.0,-16.129032258064516,2_Lieve_Calo,1,2,1,0,2,2.0,8.0,6.0,8.0,9.0,11.0,10.0,12.0,10.0,8.0,9.0,8.0,11.0,8.0,12.0,6.0,3.0,5.0,10.0,4.0,0.0,0.0,0.0,2.0
2024-02-12 02:00:00,26.0,-19.230769230769234,2_Lieve_Calo,1,1,2,0,2,2.0,2.0,8.0,6.0,8.0,9.0,11.0,10.0,12.0,10.0,8.0,9.0,8.0,11.0,8.0,12.0,6.0,3.0,5.0,10.0,4.0,0.0,0.0,0.0
2024-02-12 03:00:00,26.0,0.0,3_Stabile,2,0,3,0,2,1.0,2.0,2.0,8.0,6.0,8.0,9.0,11.0,10.0,12.0,10.0,8.0,9.0,8.0,11.0,8.0,12.0,6.0,3.0,5.0,10.0,4.0,0.0,0.0
2024-02-12 04:00:00,32.0,18.75,4_Lieve_Aumento,3,0,4,0,2,0.0,1.0,2.0,2.0,8.0,6.0,8.0,9.0,11.0,10.0,12.0,10.0,8.0,9.0,8.0,11.0,8.0,12.0,6.0,3.0,5.0,10.0,4.0,0.0
2024-02-12 05:00:00,41.0,21.951219512195124,4_Lieve_Aumento,3,3,5,0,2,0.0,0.0,1.0,2.0,2.0,8.0,6.0,8.0,9.0,11.0,10.0,12.0,10.0,8.0,9.0,8.0,11.0,8.0,12.0,6.0,3.0,5.0,10.0,4.0
2024-02-12 06:00:00,46.0,10.869565217391305,3_Stabile,2,10,6,0,2,3.0,0.0,0.0,1.0,2.0,2.0,8.0,6.0,8.0,9.0,11.0,10.0,12.0,10.0,8.0,9.0,8.0,11.0,8.0,12.0,6.0,3.0,5.0,10.0
2024-02-12 07:00:00,51.0,9.803921568627452,3_Stabile,2,12,7,0,2,10.0,3.0,0.0,0.0,1.0,2.0,2.0,8.0,6.0,8.0,9.0,11.0,10.0,12.0,10.0,8.0,9.0,8.0,11.0,8.0,12.0,6.0,3.0,5.0
2024-02-12 08:00:00,55.0,7.2727272727272725,3_Stabile,2,6,8,0,2,12.0,10.0,3.0,0.0,0.0,1.0,2.0,2.0,8.0,6.0,8.0,9.0,11.0,10.0,12.0,10.0,8.0,9.0,8.0,11.0,8.0,12.0,6.0,3.0
2024-02-12 09:00:00,50.0,-10.0,3_Stabile,2,10,9,0,2,6.0,12.0,10.0,3.0,0.0,0.0,1.0,2.0,2.0,8.0,6.0,8.0,9.0,11.0,10.0,12.0,10.0,8.0,9.0,8.0,11.0,8.0,12.0,6.0
2024-02-12 10:00:00,42.0,-19.047619047619047,2_Lieve_Calo,1,13,10,0,2,10.0,6.0,12.0,10.0,3.0,0.0,0.0,1.0,2.0,2.0,8.0,6.0,8.0,9.0,11.0,10.0,12.0,10.0,8.0,9.0,8.0,11.0,8.0,12.0
2024-02-12 11:00:00,36.0,-16.666666666666664,2_Lieve_Calo,1,11,11,0,2,13.0,10.0,6.0,12.0,10.0,3.0,0.0,0.0,1.0,2.0,2.0,8.0,6.0,8.0,9.0,11.0,10.0,12.0,10.0,8.0,9.0,8.0,11.0,8.0
2024-02-12 12:00:00,31.0,-16.129032258064516,2_Lieve_Calo,1,14,12,0,2,11.0,13.0,10.0,6.0,12.0,10.0,3.0,0.0,0.0,1.0,2.0,2.0,8.0,6.0,8.0,9.0,11.0,10.0,12.0,10.0,8.0,9.0,8.0,11.0
2024-02-12 13:00:00,28.0,-10.714285714285714,3_Stabile,2,11,13,0,2,14.0,11.0,13.0,10.0,6.0,12.0,10.0,3.0,0.0,0.0,1.0,2.0,2.0,8.0,6.0,8.0,9.0,11.0,10.0,12.0,10.0,8.0,9.0,8.0
2024-02-12 14:00:00,27.0,-3.7037037037037033,3_Stabile,2,10,14,0,2,11.0,14.0,11.0,13.0,10.0,6.0,12.0,10.0,3.0,0.0,0.0,1.0,2.0,2.0,8.0,6.0,8.0,9.0,11.0,10.0,12.0,10.0,8.0,9.0
2024-02-12 15:00:00,29.0,6.896551724137931,3_Stabile,2,14,15,0,2,10.0,11.0,14.0,11.0,13.0,10.0,6.0,12.0,10.0,3.0,0.0,0.0,1.0,2.0,2.0,8.0,6.0,8.0,9.0,11.0,10.0,12.0,10.0,8.0
2024-02-12 16:00:00,35.0,17.142857142857142,4_Lieve_Aumento,3,9,16,0,2,14.0,10.0,11.0,14.0,11.0,13.0,10.0,6.0,12.0,10.0,3.0,0.0,0.0,1.0,2.0,2.0,8.0,6.0,8.0,9.0,11.0,10.0,12.0,10.0
2024-02-12 17:00:00,55.0,36.36363636363637,5_Forte_Aumento,4,9,17,0,2,9.0,14.0,10.0,11.0,14.0,11.0,13.0,10.0,6.0,12.0,10.0,3.0,0.0,0.0,1.0,2.0,2.0,8.0,6.0,8.0,9.0,11.0,10.0,12.0
